State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.year,Crash Date.month,Crash Date.day-of-month,Crash Date.day-of-week,Alcohol Results Cleaned,Race Cleaned,Gender Cleaned,Drug Involvment Clean,Age Cleaned,Roadway Category,Alcohol Category
Kansas,Clear,1/2/2011,2,Rural-Principal Arterial-Other,61,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7,0,White,Male,No,61,Rural,0
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Female,Unknown,7,Urban,0
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,18,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0,White,Male,Unknown,18,Urban,0
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,20,Urban,0
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,28,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0.12,White,Male,Unknown,28,Urban,1
Kentucky,Clear,1/1/2011,2,Urban-Other Principal Arterial,37,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,37,Urban,0
Louisiana,Rain,1/1/2011,1,Rural-Principal Arterial-Interstate,41,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6,0,White,Male,Unknown,41,Rural,0
Maine,Clear,1/3/2011,2,Rural-Major Collector,82,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1,0,White,Male,Unknown,82,Rural,0
Massachusetts,Cloudy,1/25/2011,1,Urban-Other Principal Arterial,63,0,Driver of a Motor Vehicle In-Transport,Not Reported,Black,Female,Fatal Injury (K),2011,1,25,2,0,Black,Female,Unknown,63,Urban,0
Michigan,Rain,1/1/2011,1,Rural-Major Collector,75,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,No,75,Rural,0
Minnesota,Snow,1/3/2011,1,Urban-Minor Arterial,57,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,3,1,0,White,Male,Unknown,57,Urban,0
Mississippi,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Female,Unknown,20,Urban,0
Mississippi,Clear,1/1/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,21,0.14,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6,0.14,White,Female,Unknown,21,Urban,1
Missouri,Cloudy,1/1/2011,1,Rural-Principal Arterial-Interstate,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,1,6,0,Unknown,Male,Unknown,31,Rural,0
Montana,Blowing Snow,1/5/2011,1,Rural-Principal Arterial-Other,67,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,5,3,0,Unknown,Male,No,67,Rural,0
Nevada,Cloudy,1/3/2011,1,Urban-Minor Arterial,49,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,3,1,0,Unknown,Male,No,49,Urban,0
Nevada,Cloudy,1/3/2011,1,Urban-Minor Arterial,66,0,Pedestrian,Yes,White,Female,Fatal Injury (K),2011,1,3,1,0,White,Female,Yes,66,Urban,0
New Hampshire,Clear,1/20/2011,1,Rural-Local Road or Street,20,0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,20,4,0,White,Female,Yes,20,Rural,0
New Hampshire,Clear,1/20/2011,1,Rural-Local Road or Street,21,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,20,4,0,Unknown,Male,Unknown,21,Rural,0
New Hampshire,Clear,1/20/2011,1,Rural-Local Road or Street,52,0,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,20,4,0,Unknown,Male,No,52,Rural,0
New Mexico,Clear,2/12/2011,1,Urban-Collector,43,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,2,12,6,0,Unknown,Male,Unknown,43,Urban,0
New York,Clear,1/10/2011,1,Rural-Principal Arterial-Other,31,0,Driver of a Motor Vehicle In-Transport,Not Reported,Unknown,Male,Fatal Injury (K),2011,1,10,1,0,Unknown,Male,Unknown,31,Rural,0
North Carolina,Snow,1/7/2011,2,Rural-Major Collector,50,0,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,7,5,0,White,Female,Unknown,50,Rural,0
North Dakota,Clear,4/7/2011,1,Rural-Major Collector,41,0.31,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,4,7,4,0.31,White,Male,No,41,Rural,1
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,21,0.06,Passenger of a Motor Vehicle In-Transport,Not Reported,Black,Male,Fatal Injury (K),2011,1,1,6,0.06,Black,Male,Unknown,21,Urban,1
Ohio,Cloudy,1/1/2011,1,Urban-Other Principal Arterial,22,,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,1,6,0,Unknown,Male,No,22,Urban,0
Oklahoma,Clear,1/1/2011,2,Rural-Local Road or Street,39,0.1,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6,0.1,White,Female,Unknown,39,Rural,1
Oregon,Clear,1/2/2011,1,Rural-Principal Arterial-Other,64,0,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,2,7,0,White,Female,Unknown,64,Rural,0
Pennsylvania,Clear,1/1/2011,1,Rural-Major Collector,21,0.27,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),2011,1,1,6,0.27,Unknown,Male,No,21,Rural,1
South Carolina,"Fog, Smog, Smoke",1/1/2011,1,Rural-Local Road or Street,91,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,1,6,0,White,Female,Unknown,91,Rural,0
Tennessee,Rain,2/1/2011,1,Rural-Principal Arterial-Interstate,46,0,Driver of a Motor Vehicle In-Transport,No,,Female,Incapacitating Injury (A),2011,2,1,2,0,Unknown,Female,No,46,Rural,0
Texas,Clear,1/1/2011,2,Urban-Minor Arterial,34,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6,0,Unknown,Male,Unknown,34,Urban,0
Utah,Clear,1/1/2011,1,Urban-Other Principal Arterial,34,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,No,34,Urban,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,0,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6,0,Unknown,Female,No,0,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,17,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6,0,Unknown,Male,No,17,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,18,,Passenger of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6,0,Unknown,Male,No,18,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,22,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,15,6,0,Unknown,Male,No,22,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,56,,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,15,6,0,White,Female,No,56,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,57,,Driver of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,15,6,0,Unknown,Female,No,57,Rural,0
Vermont,Snow,1/15/2011,1,Rural-Principal Arterial-Other,67,0.11,Driver of a Motor Vehicle In-Transport,No,,Male,Non-incapacitating Evident Injury (B),2011,1,15,6,0.11,Unknown,Male,No,67,Rural,1
Virginia,Rain,1/1/2011,1,Rural-Minor Collector,20,0.11,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),2011,1,1,6,0.11,White,Male,Unknown,20,Rural,1
Washington,Clear,1/1/2011,1,Urban-Collector,18,0.15,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,1,6,0.15,American Indian (includes Aleuts and Eskimos),Male,Unknown,18,Urban,1
Washington,Clear,1/1/2011,1,Urban-Collector,18,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,1,6,0,Unknown,Male,Unknown,18,Urban,0
Wyoming,Clear,1/16/2011,1,Rural-Major Collector,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,16,7,0,Unknown,Male,Unknown,15,Rural,0
Wyoming,Clear,1/16/2011,1,Rural-Major Collector,17,0,Driver of a Motor Vehicle In-Transport,Not Reported,American Indian (includes Aleuts and Eskimos),Male,Fatal Injury (K),2011,1,16,7,0,American Indian (includes Aleuts and Eskimos),Male,Unknown,17,Rural,0
Alaska,Cloudy,1/5/2011,2,Rural-Major Collector,32,0,Driver of a Motor Vehicle In-Transport,No,,Male,Incapacitating Injury (A),2011,1,5,3,0,Unknown,Male,No,32,Rural,0
Alaska,Cloudy,1/5/2011,2,Rural-Major Collector,76,0,Passenger of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,5,3,0,White,Female,No,76,Rural,0
Alaska,Cloudy,1/5/2011,2,Rural-Major Collector,82,0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,5,3,0,White,Male,No,82,Rural,0
Arkansas,Clear,1/3/2011,2,Urban-Principal Arterial-Interstate,60,0,Driver of a Motor Vehicle In-Transport,Unknown,,Female,Incapacitating Injury (A),2011,1,3,1,0,Unknown,Female,Unknown,60,Urban,0
Arkansas,Clear,1/3/2011,2,Urban-Principal Arterial-Interstate,62,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,3,1,0,Unknown,Male,Unknown,62,Urban,0
California,Clear,1/3/2011,1,Rural-Minor Arterial,62,0.21,Driver of a Motor Vehicle In-Transport,Unknown,\N,Male,Fatal Injury (K),2011,1,3,1,0.21,Unknown,Male,Unknown,62,Rural,1
Colorado,Clear,1/4/2011,1,Rural-Minor Collector,72,0,Driver of a Motor Vehicle In-Transport,Yes,White,Female,Fatal Injury (K),2011,1,4,2,0,White,Female,Yes,72,Rural,0
Connecticut,Clear,1/7/2011,1,Unknown,24,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5,0,White,Male,Unknown,24,Unknown,0
Delaware,Clear,1/11/2011,1,Rural-Principal Arterial-Other,50,,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,11,2,0,White,Male,Unknown,50,Rural,0
Delaware,Clear,1/11/2011,1,Rural-Principal Arterial-Other,55,,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,11,2,0,Unknown,Male,Unknown,55,Rural,0
Florida,Clear,1/2/2011,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7,0,Unknown,Female,Unknown,1,Urban,0
Florida,Clear,1/2/2011,1,Urban-Other Principal Arterial,15,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,2,7,0,Unknown,Female,Unknown,15,Urban,0
Florida,Clear,1/2/2011,1,Urban-Other Principal Arterial,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Non-incapacitating Evident Injury (B),2011,1,2,7,0,Unknown,Female,Unknown,25,Urban,0
Florida,Clear,1/2/2011,1,Urban-Other Principal Arterial,28,,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,2,7,0,White,Male,No,28,Urban,0
Florida,Clear,1/2/2011,1,Urban-Other Principal Arterial,37,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,2,7,0,Unknown,Male,Unknown,37,Urban,0
Georgia,Cloudy,1/1/2011,1,Urban-Local Road or Street,23,0.08,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6,0.08,White,Male,Yes,23,Urban,1
Hawaii,Clear,1/1/2011,1,Rural-Principal Arterial-Other,43,0.21,Passenger of a Motor Vehicle In-Transport,Not Reported,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),2011,1,1,6,0.21,Hawaiian (includes Part-Hawaiian),Male,Unknown,43,Rural,1
Hawaii,Clear,1/1/2011,1,Rural-Principal Arterial-Other,46,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,46,Rural,0
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,40,,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,7,5,0,Unknown,Male,Unknown,40,Rural,0
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,41,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,7,5,0,Unknown,Female,Unknown,41,Rural,0
Idaho,Snow,1/7/2011,1,Rural-Principal Arterial-Other,43,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,7,5,0,Unknown,Male,Unknown,43,Rural,0
Illinois,Clear,1/1/2011,1,Rural-Major Collector,18,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0.17,White,Male,Unknown,18,Rural,1
Indiana,Cloudy,1/1/2011,1,Rural-Local Road or Street,20,0.19,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),2011,1,1,6,0.19,White,Male,Yes,20,Rural,1
Kansas,Clear,1/2/2011,1,Rural-Major Collector,28,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7,0,Unknown,Female,Unknown,28,Rural,0
Kansas,Clear,1/2/2011,1,Rural-Major Collector,33,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,2,7,0,Unknown,Female,Unknown,33,Rural,0
Kentucky,Clear,1/4/2011,1,Rural-Local Road or Street,34,0.12,Driver of a Motor Vehicle In-Transport,Not Reported,White,Female,Fatal Injury (K),2011,1,4,2,0.12,White,Female,Unknown,34,Rural,1
Louisiana,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,32,0.13,Pedestrian,Not Reported,White,Male,Fatal Injury (K),2011,1,1,6,0.13,White,Male,Unknown,32,Urban,1
Louisiana,Cloudy,1/1/2011,1,Urban-Principal Arterial-Interstate,36,0.11,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0.11,Unknown,Male,Unknown,36,Urban,1
Maine,Clear,1/7/2011,1,Rural-Local Road or Street,20,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,7,5,0,Unknown,Female,Unknown,20,Rural,0
Maine,Clear,1/7/2011,1,Rural-Local Road or Street,20,,Passenger of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,7,5,0,White,Male,Unknown,20,Rural,0
Maryland,Rain,1/1/2011,1,Rural-Major Collector,84,0,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,1,6,0,White,Male,No,84,Rural,0
Minnesota,Clear,1/4/2011,2,Urban-Minor Arterial,40,,Driver of a Motor Vehicle In-Transport,No,,Male,No Injury (O),2011,1,4,2,0,Unknown,Male,No,40,Urban,0
Mississippi,Clear,1/2/2011,1,Rural-Principal Arterial-Other,56,0,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),2011,1,2,7,0,White,Female,No,56,Rural,0
Missouri,Clear,1/2/2011,1,Urban-Collector,19,0.17,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,Incapacitating Injury (A),2011,1,2,7,0.17,Unknown,Male,Unknown,19,Urban,1
Montana,Clear,1/22/2011,1,Urban-Other Principal Arterial,17,,Passenger of a Motor Vehicle In-Transport,No,,Female,No Injury (O),2011,1,22,6,0,Unknown,Female,No,17,Urban,0
Montana,Clear,1/22/2011,1,Urban-Other Principal Arterial,18,,Passenger of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,22,6,0,Unknown,Female,No,18,Urban,0
Montana,Clear,1/22/2011,1,Urban-Other Principal Arterial,53,0.28,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,22,6,0.28,White,Male,Unknown,53,Urban,1
Nebraska,Clear,1/1/2011,1,Rural-Minor Arterial,52,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,52,Rural,0
New Hampshire,Clear,1/3/2011,1,Urban-Local Road or Street,19,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Possible Injury (C),2011,1,3,1,0,Unknown,Female,Unknown,19,Urban,0
New Hampshire,Clear,1/3/2011,1,Urban-Local Road or Street,58,,Driver of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,3,1,0,Unknown,Female,Unknown,58,Urban,0
New Mexico,Clear,1/3/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,47,0,Driver of a Motor Vehicle In-Transport,Not Reported,,Male,No Injury (O),2011,1,3,1,0,Unknown,Male,Unknown,47,Urban,0
New Mexico,Clear,1/3/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,72,0,Driver of a Motor Vehicle In-Transport,Not Reported,White,Male,Fatal Injury (K),2011,1,3,1,0,White,Male,Unknown,72,Urban,0
Alabama,Clear,1/4/2011,1,Rural-Principal Arterial-Other,55,0.2,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),2011,1,4,2,0.2,White,Female,Unknown,55,Rural,1
Arizona,Clear,1/1/2011,1,Urban-Other Principal Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,7,Urban,0
California,Cloudy,1/3/2011,1,Rural-Major Collector,80,0,Driver of a Motor Vehicle In-Transport,Unknown,\N,Female,Fatal Injury (K),2011,1,3,1,0,Unknown,Female,Unknown,80,Rural,0
Delaware,Cloudy,1/4/2011,1,Urban-Other Principal Arterial,1,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,4,2,0,Unknown,Male,Unknown,1,Urban,0
Delaware,Cloudy,1/4/2011,1,Urban-Other Principal Arterial,26,,Driver of a Motor Vehicle In-Transport,No,,Female,Non-incapacitating Evident Injury (B),2011,1,4,2,0,Unknown,Female,No,26,Urban,0
District of Columbia,Clear,1/14/2011,2,Urban-Local Road or Street,27,0,Passenger of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),2011,1,14,5,0,White,Male,No,27,Urban,0
District of Columbia,Clear,1/14/2011,2,Urban-Local Road or Street,50,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,14,5,0,Unknown,Male,Unknown,50,Urban,0
Florida,Rain,1/1/2011,1,Urban-Minor Arterial,7,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,7,Urban,0
Georgia,"Fog, Smog, Smoke",1/1/2011,1,Urban-Local Road or Street,25,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,Incapacitating Injury (A),2011,1,1,6,0,Unknown,Female,Unknown,25,Urban,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,4,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,4,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,12,0,Passenger of a Motor Vehicle In-Transport,Not Reported,Other Asian or Pacific Islander,Male,Fatal Injury (K),2011,1,1,6,0,Other Asian or Pacific Islander,Male,Unknown,12,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,14,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,14,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,17,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Male,Non-incapacitating Evident Injury (B),2011,1,1,6,0,Unknown,Male,Unknown,17,Rural,0
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,21,0.18,Driver of a Motor Vehicle In-Transport,Unknown,,Male,Incapacitating Injury (A),2011,1,1,6,0.18,Unknown,Male,Unknown,21,Rural,1
Hawaii,Clear,1/1/2011,2,Rural-Minor Arterial,29,,Passenger of a Motor Vehicle In-Transport,Not Reported,,Female,No Injury (O),2011,1,1,6,0,Unknown,Female,Unknown,29,Rural,0
